# x, y, gamma, sigma
-1.273876390311551976e+00 -1.363709171575438681e-02 2.449545674850056934e-02 -3.870646636209587599e-02
-1.191170208948314491e+00 1.187219333791493785e-03 2.449519724857763744e-02 -3.845180994024301191e-02
-1.108501928832847483e+00 1.622015555704523979e-02 2.449526372731770582e-02 -3.783961027280420553e-02
-1.025836642087907702e+00 3.126773439204011407e-02 2.449500220689696667e-02 -3.667367268220027982e-02
-9.431508680542366463e-01 4.620122275104462939e-02 2.449515442180242794e-02 -3.538465400974374897e-02
-8.604228657482761999e-01 6.090065474582406768e-02 2.449526372731770235e-02 -3.356893088076259163e-02
-7.776287546238280779e-01 7.522190546985636772e-02 2.449509019670302948e-02 -3.148405315011199718e-02
-6.947773042850443614e-01 8.920860629629821792e-02 2.449526372731771623e-02 -2.964635741093638380e-02
-6.118327656340365461e-01 1.026244008817165376e-01 2.449500224453836014e-02 -2.641416707725665822e-02
-5.287906091238983031e-01 1.154280467863242621e-01 2.449519519754226812e-02 -2.411609114787184593e-02
-4.456637995139023367e-01 1.276677908776151504e-01 2.449526372731770235e-02 -2.083062088626159644e-02
-3.624291883581106655e-01 1.391547843302157195e-01 2.449534821424785916e-02 -1.752082451762372942e-02
-2.791063891738949643e-01 1.499853830077664263e-01 2.449526372731770582e-02 -1.428996302423130374e-02
-1.956775704828520590e-01 1.599515256290320875e-01 2.449512042763817704e-02 -9.871745297361296523e-03
-1.121611577633557094e-01 1.691706038127027412e-01 2.449526372731770235e-02 -6.697998903804841010e-03
-2.854743935496288632e-02 1.774300125340521062e-01 2.449535279307920796e-02 -1.114716510327841371e-03
5.515556711094441594e-02 1.847692581612345175e-01 2.449524705875666050e-02 2.373082586262270383e-03
1.389326782522359582e-01 1.911557471237509409e-01 2.449526372731769888e-02 8.543035613314894569e-03
2.227869874309285347e-01 1.964834883551494493e-01 2.449503645395960730e-02 1.295077937288553922e-02
3.066943197165747370e-01 2.008465822013082991e-01 2.449526372731771276e-02 1.937301690241893110e-02
3.906552878030051801e-01 2.040658421332792183e-01 2.449503248081062734e-02 2.509193031261070309e-02
4.746481036355001959e-01 2.062679868080135870e-01 2.449526372731769194e-02 3.183639436961311492e-02
5.586642058951384326e-01 2.072417558356663969e-01 2.449527830779000062e-02 3.915783831931241021e-02
6.426872853618239567e-01 2.071569075299887486e-01 2.449526372731770582e-02 4.631380840895915618e-02
7.266948807475710481e-01 2.057592510325720325e-01 2.449515787814393608e-02 5.570128444340909785e-02
8.106788657998902359e-01 2.031799740600228610e-01 2.449533006590631432e-02 6.376105866645412346e-02
8.946072375669185117e-01 1.992974884139160630e-01 2.449526372731770235e-02 7.527849322177775082e-02
9.784591115721639198e-01 1.939459482725902073e-01 2.449500718749582709e-02 8.562671738139762678e-02
1.062231073605733656e+00 1.874803167653589508e-01 2.449526372731772664e-02 9.830054315343950133e-02
1.145866500882333661e+00 1.794623386909991736e-01 2.449498659015044572e-02 1.131748403114386514e-01
1.229355994820330089e+00 1.700221525774265885e-01 2.449498262445114899e-02 1.287862138255864708e-01
1.312685354791944370e+00 1.592716219771053709e-01 2.449526372731772664e-02 1.483652798619883584e-01
1.395776407225848947e+00 1.468201388415561193e-01 2.449516078627650417e-02 1.716123544887043217e-01
1.478609089923437647e+00 1.327420995326415443e-01 2.449502350885141358e-02 1.986505629095369763e-01
1.561170324867505954e+00 1.171551061341195576e-01 2.449522997574654984e-02 2.332932825715992031e-01
1.643393871273565843e+00 9.987976881853416478e-02 2.449499042373937119e-02 2.789671324139373354e-01
1.725208751136907859e+00 8.076726755991411877e-02 2.449504730483105866e-02 3.424677311617123077e-01
1.806545055587783999e+00 5.971306132956880064e-02 2.449500768469609069e-02 4.380966621219347656e-01
1.887310398644514109e+00 3.657020311475094737e-02 2.449510268248775158e-02 6.043878747597253298e-01
1.963530119394147899e+00 1.224130012795805050e-02 2.216088162803103723e-02 8.439762009939690834e-01
